h3_07,muutos,vuosi,geometry
870899602ffffff,-10,16100,"POLYGON ((24.58503596921045 60.28296458992014, 24.603860949071326 60.27820739183984, 24.620984419256956 60.28532844685049, 24.619283412038758 60.29720978397188, 24.600447087497145 60.30196751084847, 24.583323118539656 60.294843371278304, 24.58503596921045 60.28296458992014))"
870899603ffffff,-4,16100,"POLYGON ((24.600447087497145 60.30196751084847, 24.619283412038758 60.29720978397188, 24.636422408176262 60.304330769561815, 24.634725589720695 60.31621256691954, 24.615877909600417 60.32097082501753, 24.59873840720338 60.31384675400558, 24.600447087497145 60.30196751084847))"
870899604ffffff,6,32200,"POLYGON ((24.52855108683513 60.297214424774985, 24.54738103424486 60.29246810607994, 24.564489975556565 60.29959539162753, 24.562769446997024 60.311472077449096, 24.543928138745596 60.31621891778776, 24.526818723594097 60.30908855013443, 24.52855108683513 60.297214424774985))"
870899606ffffff,3,26155,"POLYGON ((24.54910571481229 60.28059188361318, 24.56792751048479 60.27584038727555, 24.58503596921045 60.28296458992014, 24.583323118539656 60.294843371278304, 24.564489975556565 60.29959539162753, 24.54738103424486 60.29246810607994, 24.54910571481229 60.28059188361318))"
870899608ffffff,-355,26155,"POLYGON ((24.631328471090015 60.339974523870865, 24.650187517695866 60.33521573211982, 24.667357635455513 60.34233656237471, 24.6656692316227 60.35421927099718, 24.646798807615276 60.35897859883946, 24.629628168538762 60.35185468143365, 24.631328471090015 60.339974523870865))"
870899609ffffff,6,8050,"POLYGON ((24.646798807615276 60.35897859883946, 24.6656692316227 60.35421927099718, 24.682854945141102 60.36134001531855, 24.681170767239195 60.37322317496348, 24.66228895490524 60.37798304134183, 24.645102712500037 60.37085920900304, 24.646798807615276 60.35897859883946))"
87089960affffff,-10,8050,"POLYGON ((24.651880135034776 60.32333347759408, 24.670730979984228 60.31856950330587, 24.687900567688644 60.325687245625936, 24.68621984418665 60.33757204963439, 24.667357635455513 60.34233656237471, 24.650187517695866 60.33521573211982, 24.651880135034776 60.32333347759408))"
87089960bffffff,-4,16100,"POLYGON ((24.667357635455513 60.34233656237471, 24.68621984418665 60.33757204963439, 24.70340502007155 60.344689705156924, 24.701728528550355 60.35657496168222, 24.682854945141102 60.36134001531855, 24.6656692316227 60.35421927099718, 24.667357635455513 60.34233656237471))"
87089960dffffff,-12,8050,"POLYGON ((24.610760918084264 60.35660828836029, 24.629628168538762 60.35185468143365, 24.646798807615276 60.35897859883946, 24.645102712500037 60.37085920900304, 24.626224071011517 60.37561334965829, 24.609052919377504 60.368486345887234, 24.610760918084264 60.35660828836029))"
87089960effffff,9,26155,"POLYGON ((24.615877909600417 60.32097082501753, 24.634725589720695 60.31621256691954, 24.651880135034776 60.32333347759408, 24.650187517695866 60.33521573211982, 24.631328471090015 60.339974523870865, 24.61417341200142 60.33285052691052, 24.615877909600417 60.32097082501753))"
870899610ffffff,-36,16100,"POLYGON ((24.59016751314084 60.24732499161822, 24.60897301174856 60.242563146831046, 24.626080479147213 60.24968118128495, 24.62438295162659 60.261564144490656, 24.605566132733237 60.266326518020115, 24.588458165318965 60.25920539907397, 24.59016751314084 60.24732499161822))"
870899611ffffff,2,8050,"POLYGON ((24.605566132733237 60.266326518020115, 24.62438295162659 60.261564144490656, 24.641505914327574 60.26868211415043, 24.63981256929643 60.28056554216115, 24.620984419256956 60.28532844685049, 24.603860949071326 60.27820739183984, 24.605566132733237 60.266326518020115))"
870899612ffffff,76,16100,"POLYGON ((24.610674709473827 60.23068065149487, 24.62947206277117 60.22591363590558, 24.64657902147078 60.23302858507533, 24.644889139236266 60.24491363459066, 24.626080479147213 60.24968118128495, 24.60897301174856 60.242563146831046, 24.610674709473827 60.23068065149487))"
870899613ffffff,98,32200,"POLYGON ((24.626080479147213 60.24968118128495, 24.644889139236266 60.24491363459066, 24.662011585760794 60.25202851811009, 24.66032589204066 60.263914033934476, 24.641505914327574 60.26868211415043, 24.62438295162659 60.261564144490656, 24.626080479147213 60.24968118128495))"
870899614ffffff,-188,32200,"POLYGON ((24.554272702204486 60.24495996194886, 24.573075025361412 60.24020381421222, 24.59016751314084 60.24732499161822, 24.588458165318965 60.25920539907397, 24.569644519249955 60.26396207077647, 24.552551547592547 60.256837810531756, 24.554272702204486 60.24495996194886))"
870899615ffffff,22,32200,"POLYGON ((24.569644519249955 60.26396207077647, 24.588458165318965 60.25920539907397, 24.605566132733237 60.266326518020115, 24.603860949071326 60.27820739183984, 24.58503596921045 60.28296458992014, 24.56792751048479 60.27584038727555, 24.569644519249955 60.26396207077647))"
870899616ffffff,720,32200,"POLYGON ((24.574788525094437 60.22832387617979, 24.593582714268162 60.22356255772378, 24.610674709473827 60.23068065149487, 24.60897301174856 60.242563146831046, 24.59016751314084 60.24732499161822, 24.573075025361412 60.24020381421222, 24.574788525094437 60.22832387617979))"
870899618ffffff,88,32200,"POLYGON ((24.656951050453124 60.287683441540246, 24.675782356631544 60.28291482537934, 24.692935848228334 60.290029561124896, 24.69125856853512 60.30191600035507, 24.67241592304126 60.30668515489082, 24.65526190023148 60.299567331288415, 24.656951050453124 60.287683441540246))"
870899619ffffff,-26,32200,"POLYGON ((24.67241592304126 60.30668515489082, 24.69125856853512 60.30191600035507, 24.708427617467283 60.30903065395812, 24.706754563357023 60.320917550279, 24.687900567688644 60.325687245625936, 24.670730979984228 60.31856950330587, 24.67241592304126 60.30668515489082))"
87089961affffff,164,32200,"POLYGON ((24.67746384951626 60.27102884631565, 24.696286972014633 60.26625505455752, 24.713439923710787 60.27336670166342, 24.711770296475954 60.28525522863372, 24.692935848228334 60.290029561124896, 24.675782356631544 60.28291482537934, 24.67746384951626 60.27102884631565))"
87089961bffffff,282,32200,"POLYGON ((24.692935848228334 60.290029561124896, 24.711770296475954 60.28525522863372, 24.728938797939822 60.292366792739315, 24.72727340229483 60.30425577829836, 24.708427617467283 60.30903065395812, 24.69125856853512 60.30191600035507, 24.692935848228334 60.290029561124896))"
87089961cffffff,-6,24150,"POLYGON ((24.620984419256956 60.28532844685049, 24.63981256929643 60.28056554216115, 24.656951050453124 60.287683441540246, 24.65526190023148 60.299567331288415, 24.636422408176262 60.304330769561815, 24.619283412038758 60.29720978397188, 24.620984419256956 60.28532844685049))"
87089961dffffff,-34,10055,"POLYGON ((24.636422408176262 60.304330769561815, 24.65526190023148 60.299567331288415, 24.67241592304126 60.30668515489082, 24.670730979984228 60.31856950330587, 24.651880135034776 60.32333347759408, 24.634725589720695 60.31621256691954, 24.636422408176262 60.304330769561815))"
87089961effffff,10,32200,"POLYGON ((24.641505914327574 60.26868211415043, 24.66032589204066 60.263914033934476, 24.67746384951626 60.27102884631565, 24.675782356631544 60.28291482537934, 24.656951050453124 60.287683441540246, 24.63981256929643 60.28056554216115, 24.641505914327574 60.26868211415043))"
870899622ffffff,-22,8050,"POLYGON ((24.492630435741347 60.29482462316621, 24.511457173592945 60.290084001248296, 24.52855108683513 60.297214424774985, 24.526818723594097 60.30908855013443, 24.50798062232205 60.313829688911646, 24.49088625141498 60.30669618494531, 24.492630435741347 60.29482462316621))"
870899623ffffff,-6,8050,"POLYGON ((24.50798062232205 60.313829688911646, 24.526818723594097 60.30908855013443, 24.543928138745596 60.31621891778776, 24.54219992140486 60.328093504998485, 24.523350445747674 60.33283516304957, 24.50624056552365 60.32570171408955, 24.50798062232205 60.313829688911646))"
870899630ffffff,28,32200,"POLYGON ((24.49785585432416 60.259206674352974, 24.51666311285052 60.25446139171057, 24.53374108832256 60.26158878527062, 24.53201226799366 60.27346454132764, 24.513193670489194 60.27821034079278, 24.496115235982803 60.271079866854826, 24.49785585432416 60.259206674352974))"
870899631ffffff,-22,32200,"POLYGON ((24.513193670489194 60.27821034079278, 24.53201226799366 60.27346454132764, 24.54910571481229 60.28059188361318, 24.54738103424486 60.29246810607994, 24.52855108683513 60.297214424774985, 24.511457173592945 60.290084001248296, 24.513193670489194 60.27821034079278))"
870899632ffffff,7,10055,"POLYGON ((24.51839606072944 60.24258610511522, 24.53719519449587 60.23783564956881, 24.554272702204486 60.24495996194886, 24.552551547592547 60.256837810531756, 24.53374108832256 60.26158878527062, 24.51666311285052 60.25446139171057, 24.51839606072944 60.24258610511522))"
870899633ffffff,-68,24150,"POLYGON ((24.53374108832256 60.26158878527062, 24.552551547592547 60.256837810531756, 24.569644519249955 60.26396207077647, 24.56792751048479 60.27584038727555, 24.54910571481229 60.28059188361318, 24.53201226799366 60.27346454132764, 24.53374108832256 60.26158878527062))"
870899680ffffff,8734,32200,"POLYGON ((24.707979954024577 60.183027293254014, 24.72675600069921 60.17823907679312, 24.743876296017774 60.18534160789072, 24.742221099030015 60.197235444199535, 24.723433788694976 60.20202420361189, 24.706312942641645 60.19491858323331, 24.707979954024577 60.183027293254014))"
870899681ffffff,2160,24150,"POLYGON ((24.723433788694976 60.20202420361189, 24.742221099030015 60.197235444199535, 24.75935687519786 60.204337900753195, 24.757705902940494 60.21623220631551, 24.73890731821645 60.221021511098954, 24.72177098377604 60.21391596441656, 24.723433788694976 60.20202420361189))"
870899682ffffff,3822,32200,"POLYGON ((24.728415410092566 60.16634571281647, 24.74718330890651 60.16155233464927, 24.76430304490282 60.16865177568512, 24.76265544503246 60.18054768441899, 24.743876296017774 60.18534160789072, 24.72675600069921 60.17823907679312, 24.728415410092566 60.16634571281647))"
870899683ffffff,1038,32200,"POLYGON ((24.743876296017774 60.18534160789072, 24.76265544503246 60.18054768441899, 24.779790654332004 60.18764705006551, 24.778147285113814 60.199543429558204, 24.75935687519786 60.204337900753195, 24.742221099030015 60.197235444199535, 24.743876296017774 60.18534160789072))"
870899684ffffff,1516,34220,"POLYGON ((24.672101642957504 60.18070411894644, 24.690874573313778 60.17592160467101, 24.707979954024577 60.183027293254014, 24.706312942641645 60.19491858323331, 24.687528745900757 60.199701635691326, 24.670422830565915 60.192592859458784, 24.672101642957504 60.18070411894644))"
870899685ffffff,2776,16100,"POLYGON ((24.687528745900757 60.199701635691326, 24.706312942641645 60.19491858323331, 24.723433788694976 60.20202420361189, 24.72177098377604 60.21391596441656, 24.702975509902522 60.218699557471204, 24.685854121722738 60.21159084859417, 24.687528745900757 60.199701635691326))"
870899686ffffff,2286,32200,"POLYGON ((24.692545778871693 60.164030788590544, 24.711310572605814 60.15924311266795, 24.728415410092566 60.16634571281647, 24.72675600069921 60.17823907679312, 24.707979954024577 60.183027293254014, 24.690874573313778 60.17592160467101, 24.692545778871693 60.164030788590544))"
870899688ffffff,1084,32200,"POLYGON ((24.77485718301865 60.223334582822545, 24.79365886454491 60.21853956147908, 24.81082508959592 60.22563875982572, 24.809190218798815 60.23753607158124, 24.790377254944598 60.24233164550497, 24.773210447851373 60.235229354556694, 24.77485718301865 60.223334582822545))"
870899689ffffff,2982,24150,"POLYGON ((24.790377254944598 60.24233164550497, 24.809190218798815 60.23753607158124, 24.82637198638533 60.2446351779981, 24.824741383427426 60.25653295125162, 24.805917126519116 60.261329080193924, 24.78873476926234 60.2542268803262, 24.790377254944598 60.24233164550497))"
87089968affffff,9640,32200,"POLYGON ((24.7952979907504 60.20664271431153, 24.814091486204372 60.201842526509544, 24.831257120622094 60.2089386314828, 24.82962985384649 60.22083801709495, 24.81082508959592 60.22563875982572, 24.79365886454491 60.21853956147908, 24.7952979907504 60.20664271431153))"
87089968bffffff,10226,32200,"POLYGON ((24.81082508959592 60.22563875982572, 24.82962985384649 60.22083801709495, 24.846811023163546 60.22793402929172, 24.845188030130455 60.23983387790115, 24.82637198638533 60.2446351779981, 24.809190218798815 60.23753607158124, 24.81082508959592 60.22563875982572))"
87089968cffffff,3116,32200,"POLYGON ((24.73890731821645 60.221021511098954, 24.757705902940494 60.21623220631551, 24.77485718301865 60.223334582822545, 24.773210447851373 60.235229354556694, 24.75440057800119 60.24001920713741, 24.737248732085348 60.2329137396525, 24.73890731821645 60.221021511098954))"
87089968dffffff,1670,32200,"POLYGON ((24.75440057800119 60.24001920713741, 24.773210447851373 60.235229354556694, 24.790377254944598 60.24233164550497, 24.78873476926234 60.2542268803262, 24.769913603540196 60.25901728313684, 24.752746223016818 60.25191190036039, 24.75440057800119 60.24001920713741))"
87089968effffff,2234,32200,"POLYGON ((24.75935687519786 60.204337900753195, 24.778147285113814 60.199543429558204, 24.7952979907504 60.20664271431153, 24.79365886454491 60.21853956147908, 24.77485718301865 60.223334582822545, 24.757705902940494 60.21623220631551, 24.75935687519786 60.204337900753195))"
870899690ffffff,140,16100,"POLYGON ((24.73338686565301 60.130662430847664, 24.752135392730654 60.1258644385178, 24.76923911805205 60.13296085944942, 24.76759488027072 60.14485836218062, 24.74883512710348 60.14965689975509, 24.731730841420127 60.14255738882428, 24.73338686565301 60.130662430847664))"
870899691ffffff,1882,32200,"POLYGON ((24.74883512710348 60.14965689975509, 24.76759488027072 60.14485836218062, 24.784714048378017 60.15195471237565, 24.78307403482366 60.16385269045476, 24.76430304490282 60.16865177568512, 24.74718330890651 60.16155233464927, 24.74883512710348 60.14965689975509))"
870899692ffffff,1,10070,"POLYGON ((24.75378384244745 60.113967414214585, 24.77252423950742 60.10916426712951, 24.78962739592896 60.1162575972822, 24.78799072779486 60.12815716476917, 24.76923911805205 60.13296085944942, 24.752135392730654 60.1258644385178, 24.75378384244745 60.113967414214585))"
870899693ffffff,-1,2005,"POLYGON ((24.76923911805205 60.13296085944942, 24.78799072779486 60.12815716476917, 24.805109319467196 60.13525042334609, 24.80347688143974 60.147150467689904, 24.784714048378017 60.15195471237565, 24.76759488027072 60.14485836218062, 24.76923911805205 60.13296085944942))"
870899694ffffff,-196,24150,"POLYGON ((24.69755257685602 60.12835515029496, 24.7162980073356 60.12356285550673, 24.73338686565301 60.130662430847664, 24.731730841420127 60.14255738882428, 24.712974182114973 60.14735022409916, 24.69588477948604 60.14024756038327, 24.69755257685602 60.12835515029496))"
870899695ffffff,7332,32200,"POLYGON ((24.712974182114973 60.14735022409916, 24.731730841420127 60.14255738882428, 24.74883512710348 60.14965689975509, 24.74718330890651 60.16155233464927, 24.728415410092566 60.16634571281647, 24.711310572605814 60.15924311266795, 24.712974182114973 60.14735022409916))"
870899696ffffff,69,26170,"POLYGON ((24.717958225348532 60.111668377522534, 24.736695536992038 60.106870928032514, 24.75378384244745 60.113967414214585, 24.752135392730654 60.1258644385178, 24.73338686565301 60.130662430847664, 24.7162980073356 60.12356285550673, 24.717958225348532 60.111668377522534))"
870899698ffffff,3756,32200,"POLYGON ((24.80020866868 60.170948964417605, 24.818982735705195 60.166144167309504, 24.836132266730562 60.17323726623457, 24.83450832593258 60.18513825503315, 24.815723014290917 60.18994360698692, 24.79857289167889 60.18284741476151, 24.80020866868 60.170948964417605))"
870899699ffffff,718,24150,"POLYGON ((24.815723014290917 60.18994360698692, 24.83450832593258 60.18513825503315, 24.851673361146844 60.192231265863064, 24.850053687541667 60.20413272225342, 24.831257120622094 60.2089386314828, 24.814091486204372 60.201842526509544, 24.815723014290917 60.18994360698692))"
87089969affffff,-10,18105,"POLYGON ((24.82061093129893 60.15424364919416, 24.839376830258075 60.14943369258939, 24.856525761155346 60.15652369744344, 24.85490939682816 60.1684267524381, 24.836132266730562 60.17323726623457, 24.818982735705195 60.166144167309504, 24.82061093129893 60.15424364919416))"
87089969bffffff,262,16100,"POLYGON ((24.836132266730562 60.17323726623457, 24.85490939682816 60.1684267524381, 24.872073824289526 60.175516668356465, 24.87046173301633 60.18742019244589, 24.851673361146844 60.192231265863064, 24.83450832593258 60.18513825503315, 24.836132266730562 60.17323726623457))"
87089969cffffff,7274,32200,"POLYGON ((24.76430304490282 60.16865177568512, 24.78307403482366 60.16385269045476, 24.80020866868 60.170948964417605, 24.79857289167889 60.18284741476151, 24.779790654332004 60.18764705006551, 24.76265544503246 60.18054768441899, 24.76430304490282 60.16865177568512))"
87089969dffffff,788,32200,"POLYGON ((24.779790654332004 60.18764705006551, 24.79857289167889 60.18284741476151, 24.815723014290917 60.18994360698692, 24.814091486204372 60.201842526509544, 24.7952979907504 60.20664271431153, 24.778147285113814 60.199543429558204, 24.779790654332004 60.18764705006551))"
87089969effffff,267,26155,"POLYGON ((24.784714048378017 60.15195471237565, 24.80347688143974 60.147150467689904, 24.82061093129893 60.15424364919416, 24.818982735705195 60.166144167309504, 24.80020866868 60.170948964417605, 24.78307403482366 60.16385269045476, 24.784714048378017 60.15195471237565))"
8708996a0ffffff,-498,32200,"POLYGON ((24.615772849717384 60.19502993872444, 24.634550777348696 60.19025828567474, 24.651641761402818 60.19737020979463, 24.64995533138035 60.209256871659775, 24.63116612123405 60.2140290557661, 24.61407462727712 60.206914046424274, 24.615772849717384 60.19502993872444))"
8708996a1ffffff,2910,32200,"POLYGON ((24.63116612123405 60.2140290557661, 24.64995533138035 60.209256871659775, 24.66706177271838 60.21636873475515, 24.665379524927296 60.22825586750308, 24.64657902147078 60.23302858507533, 24.62947206277117 60.22591363590558, 24.63116612123405 60.2140290557661))"
8708996a2ffffff,0,24150,"POLYGON ((24.636241377350437 60.17837209775844, 24.655011177439487 60.17359528083933, 24.672101642957504 60.18070411894644, 24.670422830565915 60.192592859458784, 24.651641761402818 60.19737020979463, 24.634550777348696 60.19025828567474, 24.636241377350437 60.17837209775844))"
8708996a3ffffff,7948,32200,"POLYGON ((24.651641761402818 60.19737020979463, 24.670422830565915 60.192592859458784, 24.687528745900757 60.199701635691326, 24.685854121722738 60.21159084859417, 24.66706177271838 60.21636873475515, 24.64995533138035 60.209256871659775, 24.651641761402818 60.19737020979463))"
8708996a4ffffff,5580,32200,"POLYGON ((24.579922025289438 60.19268083528276, 24.59869679746459 60.18791487467934, 24.615772849717384 60.19502993872444, 24.61407462727712 60.206914046424274, 24.59528856994811 60.21168053331879, 24.578212023869906 60.20456238569797, 24.579922025289438 60.19268083528276))"
8708996a5ffffff,650,24150,"POLYGON ((24.59528856994811 60.21168053331879, 24.61407462727712 60.206914046424274, 24.63116612123405 60.2140290557661, 24.62947206277117 60.22591363590558, 24.610674709473827 60.23068065149487, 24.593582714268162 60.22356255772378, 24.59528856994811 60.21168053331879))"
8708996a6ffffff,4228,32200,"POLYGON ((24.600399171666 60.17603124248001, 24.619165827568718 60.17126011808414, 24.636241377350437 60.17837209775844, 24.634550777348696 60.19025828567474, 24.615772849717384 60.19502993872444, 24.59869679746459 60.18791487467934, 24.600399171666 60.17603124248001))"
8708996a8ffffff,946,32200,"POLYGON ((24.68250144660445 60.23536766409431, 24.701305086226057 60.23058923969326, 24.718441970322605 60.23769787572435, 24.716775759470654 60.24958802419142, 24.69796081844696 60.254366989253995, 24.680823393331742 60.247255264656054, 24.68250144660445 60.23536766409431))"
8708996a9ffffff,312,40250,"POLYGON ((24.69796081844696 60.254366989253995, 24.716775759470654 60.24958802419142, 24.733928162599494 60.256696581876476, 24.732266176930082 60.26858719351128, 24.713439923710787 60.27336670166342, 24.696286972014633 60.26625505455752, 24.69796081844696 60.254366989253995))"
8708996aaffffff,-724,24150,"POLYGON ((24.702975509902522 60.218699557471204, 24.72177098377604 60.21391596441656, 24.73890731821645 60.221021511098954, 24.737248732085348 60.2329137396525, 24.718441970322605 60.23769787572435, 24.701305086226057 60.23058923969326, 24.702975509902522 60.218699557471204))"
8708996abffffff,720,32200,"POLYGON ((24.718441970322605 60.23769787572435, 24.737248732085348 60.2329137396525, 24.75440057800119 60.24001920713741, 24.752746223016818 60.25191190036039, 24.733928162599494 60.256696581876476, 24.716775759470654 60.24958802419142, 24.718441970322605 60.23769787572435))"
8708996acffffff,270,32200,"POLYGON ((24.64657902147078 60.23302858507533, 24.665379524927296 60.22825586750308, 24.68250144660445 60.23536766409431, 24.680823393331742 60.247255264656054, 24.662011585760794 60.25202851811009, 24.644889139236266 60.24491363459066, 24.64657902147078 60.23302858507533))"
8708996adffffff,-22,24150,"POLYGON ((24.662011585760794 60.25202851811009, 24.680823393331742 60.247255264656054, 24.69796081844696 60.254366989253995, 24.696286972014633 60.26625505455752, 24.67746384951626 60.27102884631565, 24.66032589204066 60.263914033934476, 24.662011585760794 60.25202851811009))"
8708996aeffffff,536,24150,"POLYGON ((24.66706177271838 60.21636873475515, 24.685854121722738 60.21159084859417, 24.702975509902522 60.218699557471204, 24.701305086226057 60.23058923969326, 24.68250144660445 60.23536766409431, 24.665379524927296 60.22825586750308, 24.66706177271838 60.21636873475515))"
8708996b0ffffff,1508,32200,"POLYGON ((24.641306279200023 60.142710334745686, 24.660056708995786 60.13792888961949, 24.67713122798124 60.14503469817412, 24.675455840502334 60.15692503728535, 24.656694165791556 60.161707015785666, 24.639619127105856 60.15459812127544, 24.641306279200023 60.142710334745686))"
8708996b1ffffff,880,32200,"POLYGON ((24.656694165791556 60.161707015785666, 24.675455840502334 60.15692503728535, 24.692545778871693 60.164030788590544, 24.690874573313778 60.17592160467101, 24.672101642957504 60.18070411894644, 24.655011177439487 60.17359528083933, 24.656694165791556 60.161707015785666))"
8708996b2ffffff,744,32200,"POLYGON ((24.661736266176288 60.12603903054491, 24.68047858615435 60.121252428485725, 24.69755257685602 60.12835515029496, 24.69588477948604 60.14024756038327, 24.67713122798124 60.14503469817412, 24.660056708995786 60.13792888961949, 24.661736266176288 60.12603903054491))"
8708996b3ffffff,-466,32200,"POLYGON ((24.67713122798124 60.14503469817412, 24.69588477948604 60.14024756038327, 24.712974182114973 60.14735022409916, 24.711310572605814 60.15924311266795, 24.692545778871693 60.164030788590544, 24.675455840502334 60.15692503728535, 24.67713122798124 60.14503469817412))"
8708996b4ffffff,-334,8050,"POLYGON ((24.605499350198272 60.140377146579105, 24.624246644405623 60.13560138929425, 24.641306279200023 60.142710334745686, 24.639619127105856 60.15459812127544, 24.620860585332423 60.15937440717971, 24.6038004468552 60.1522623774116, 24.605499350198272 60.140377146579105))"
8708996b5ffffff,6604,32200,"POLYGON ((24.620860585332423 60.15937440717971, 24.639619127105856 60.15459812127544, 24.656694165791556 60.161707015785666, 24.655011177439487 60.17359528083933, 24.636241377350437 60.17837209775844, 24.619165827568718 60.17126011808414, 24.620860585332423 60.15937440717971))"
8708996b6ffffff,-86,8050,"POLYGON ((24.62593794805821 60.123714084350695, 24.644677143660587 60.1189331702041, 24.661736266176288 60.12603903054491, 24.660056708995786 60.13792888961949, 24.641306279200023 60.142710334745686, 24.624246644405623 60.13560138929425, 24.62593794805821 60.123714084350695))"
