h3_07,muutos,vuosi,geometry
8708996c0ffffff,5470,32200,"POLYGON ((24.816571630779286 60.31601370480866, 24.835426748678067 60.31122163664619, 24.852655895755422 60.31832353004565, 24.851030532668556 60.330220586307306, 24.832164075828757 60.335013214496314, 24.814934324675946 60.32790822585416, 24.816571630779286 60.31601370480866))"
8708996c1ffffff,1070,32200,"POLYGON ((24.832164075828757 60.335013214496314, 24.851030532668556 60.330220586307306, 24.868275322942882 60.33732236644308, 24.86665427184625 60.349219870322635, 24.84777646527681 60.35401306100379, 24.830531063196407 60.346908184768466, 24.832164075828757 60.335013214496314))"
8708996c2ffffff,8716,32200,"POLYGON ((24.837056411183006 60.299325031102356, 24.855903286412094 60.294527784781614, 24.87313182076943 60.301626582174876, 24.87151409626816 60.31352572135186, 24.852655895755422 60.31832353004565, 24.835426748678067 60.31122163664619, 24.837056411183006 60.299325031102356))"
8708996c3ffffff,4410,32200,"POLYGON ((24.852655895755422 60.31832353004565, 24.87151409626816 60.31352572135186, 24.888758266083705 60.320624404627075, 24.887144859499326 60.33252399291162, 24.868275322942882 60.33732236644308, 24.851030532668556 60.330220586307306, 24.852655895755422 60.31832353004565))"
8708996c4ffffff,-4,16100,"POLYGON ((24.780505486141852 60.313694941795625, 24.799357507201833 60.308908609318586, 24.816571630779286 60.31601370480866, 24.814934324675946 60.32790822585416, 24.796070961813307 60.332695113549484, 24.77885625052082 60.32558692444005, 24.780505486141852 60.313694941795625))"
8708996c5ffffff,-20,32200,"POLYGON ((24.796070961813307 60.332695113549484, 24.814934324675946 60.32790822585416, 24.832164075828757 60.335013214496314, 24.830531063196407 60.346908184768466, 24.81165634772245 60.35169563014206, 24.79442600115999 60.344587547022485, 24.796070961813307 60.332695113549484))"
8708996c6ffffff,10,10070,"POLYGON ((24.800999094240282 60.29701454059439, 24.819842883978154 60.29222302999943, 24.837056411183006 60.299325031102356, 24.835426748678067 60.31122163664619, 24.816571630779286 60.31601370480866, 24.799357507201833 60.308908609318586, 24.800999094240282 60.29701454059439))"
8708996c8ffffff,-4,8050,"POLYGON ((24.883914728686225 60.35632153162482, 24.902795612054955 60.35152259078439, 24.92007112285329 60.35862102910019, 24.91846638996441 60.37052150628102, 24.89957414900637 60.375321016908295, 24.88229800218782 60.3682194800193, 24.883914728686225 60.35632153162482))"
8708996caffffff,-20,24150,"POLYGON ((24.904404688113807 60.339622556497545, 24.92327729009637 60.33481843277887, 24.940552156226794 60.341913771767224, 24.938955068695073 60.353816333252865, 24.92007112285329 60.35862102910019, 24.902795612054955 60.35152259078439, 24.904404688113807 60.339622556497545))"
8708996ccffffff,-4,32200,"POLYGON ((24.84777646527681 60.35401306100379, 24.86665427184625 60.349219870322635, 24.883914728686225 60.35632153162482, 24.88229800218782 60.3682194800193, 24.863408835091565 60.37301323566486, 24.846147758686943 60.36590847740497, 24.84777646527681 60.35401306100379))"
8708996cdffffff,4,8050,"POLYGON ((24.863408835091565 60.37301323566486, 24.88229800218782 60.3682194800193, 24.89957414900637 60.375321016908295, 24.897961759750018 60.3872194067117, 24.87906122132141 60.3920137298005, 24.861784447151543 60.384909095094336, 24.863408835091565 60.37301323566486))"
8708996ceffffff,-192,32200,"POLYGON ((24.868275322942882 60.33732236644308, 24.887144859499326 60.33252399291162, 24.904404688113807 60.339622556497545, 24.902795612054955 60.35152259078439, 24.883914728686225 60.35632153162482, 24.86665427184625 60.349219870322635, 24.868275322942882 60.33732236644308))"
8708996d0ffffff,3808,32200,"POLYGON ((24.841938716714257 60.263631960206084, 24.86076605066037 60.25883010029899, 24.87797835923168 60.2659259103314, 24.876363951119497 60.27782667564657, 24.85752531625756 60.282629097814336, 24.840312394061755 60.275530191864505, 24.841938716714257 60.263631960206084))"
8708996d1ffffff,734,32200,"POLYGON ((24.85752531625756 60.282629097814336, 24.876363951119497 60.27782667564657, 24.893591864133345 60.284922376271844, 24.89198176727049 60.296823595289375, 24.87313182076943 60.301626582174876, 24.855903286412094 60.294527784781614, 24.85752531625756 60.282629097814336))"
8708996d2ffffff,3528,32200,"POLYGON ((24.862384757484133 60.24692979178751, 24.88120386697734 60.242122760691046, 24.898415553329826 60.24921547404346, 24.89680875603744 60.26111831463032, 24.87797835923168 60.2659259103314, 24.86076605066037 60.25883010029899, 24.862384757484133 60.24692979178751))"
8708996d3ffffff,5318,32200,"POLYGON ((24.87797835923168 60.2659259103314, 24.89680875603744 60.26111831463032, 24.914036039105333 60.268210917727515, 24.912433558946525 60.28011421351008, 24.893591864133345 60.284922376271844, 24.876363951119497 60.27782667564657, 24.87797835923168 60.2659259103314))"
8708996d4ffffff,1466,32200,"POLYGON ((24.805917126519116 60.261329080193924, 24.824741383427426 60.25653295125162, 24.841938716714257 60.263631960206084, 24.840312394061755 60.275530191864505, 24.82147683336466 60.28032687827031, 24.804278902751992 60.27322477501448, 24.805917126519116 60.261329080193924))"
8708996d5ffffff,2184,32200,"POLYGON ((24.82147683336466 60.28032687827031, 24.840312394061755 60.275530191864505, 24.85752531625756 60.282629097814336, 24.855903286412094 60.294527784781614, 24.837056411183006 60.299325031102356, 24.819842883978154 60.29222302999943, 24.82147683336466 60.28032687827031))"
8708996d6ffffff,4332,32200,"POLYGON ((24.82637198638533 60.2446351779981, 24.845188030130455 60.23983387790115, 24.862384757484133 60.24692979178751, 24.86076605066037 60.25883010029899, 24.841938716714257 60.263631960206084, 24.824741383427426 60.25653295125162, 24.82637198638533 60.2446351779981))"
8708996d9ffffff,-26,16100,"POLYGON ((24.924878726704815 60.322916315673034, 24.94374304965095 60.31810701139511, 24.96101726248702 60.32519925030343, 24.959427809315063 60.33710389302062, 24.940552156226794 60.341913771767224, 24.92327729009637 60.33481843277887, 24.924878726704815 60.322916315673034))"
8708996daffffff,6602,32200,"POLYGON ((24.92967646197091 60.287206700787955, 24.948521202491964 60.282392792604185, 24.96577909467685 60.28948205850754, 24.964192904053053 60.30138833202858, 24.94533685778528 60.30620281454432, 24.928078311519513 60.29911044865952, 24.92967646197091 60.287206700787955))"
8708996dbffffff,6,8050,"POLYGON ((24.94533685778528 60.30620281454432, 24.964192904053053 60.30138833202858, 24.981466454989523 60.30847747010603, 24.979884625192877 60.32038419098079, 24.96101726248702 60.32519925030343, 24.94374304965095 60.31810701139511, 24.94533685778528 60.30620281454432))"
8708996dcffffff,94,32200,"POLYGON ((24.87313182076943 60.301626582174876, 24.89198176727049 60.296823595289375, 24.909225307995637 60.30391918094471, 24.90761953495545 60.31582085056014, 24.888758266083705 60.320624404627075, 24.87151409626816 60.31352572135186, 24.87313182076943 60.301626582174876))"
8708996ddffffff,20,10055,"POLYGON ((24.888758266083705 60.320624404627075, 24.90761953495545 60.31582085056014, 24.924878726704815 60.322916315673034, 24.92327729009637 60.33481843277887, 24.904404688113807 60.339622556497545, 24.887144859499326 60.33252399291162, 24.888758266083705 60.320624404627075))"
8708996deffffff,1594,32200,"POLYGON ((24.893591864133345 60.284922376271844, 24.912433558946525 60.28011421351008, 24.92967646197091 60.287206700787955, 24.928078311519513 60.29911044865952, 24.909225307995637 60.30391918094471, 24.89198176727049 60.296823595289375, 24.893591864133345 60.284922376271844))"
8708996e0ffffff,8,32200,"POLYGON ((24.723939192882874 60.328032116222964, 24.74279632512979 60.32325669495262, 24.759995995865783 60.33036807649453, 24.758339100718906 60.34225796998495, 24.739470610204457 60.34703393931456, 24.722270376782312 60.33991946655576, 24.723939192882874 60.328032116222964))"
8708996e2ffffff,18,26170,"POLYGON ((24.744457476757255 60.31136725388584, 24.763306386783512 60.30658665224436, 24.780505486141852 60.313694941795625, 24.77885625052082 60.32558692444005, 24.759995995865783 60.33036807649453, 24.74279632512979 60.32325669495262, 24.744457476757255 60.31136725388584))"
8708996e3ffffff,28,32200,"POLYGON ((24.759995995865783 60.33036807649453, 24.77885625052082 60.32558692444005, 24.796070961813307 60.332695113549484, 24.79442600115999 60.344587547022485, 24.77555439104776 60.34936925194424, 24.758339100718906 60.34225796998495, 24.759995995865783 60.33036807649453))"
8708996e4ffffff,234,24150,"POLYGON ((24.687900567688644 60.325687245625936, 24.706754563357023 60.320917550279, 24.723939192882874 60.328032116222964, 24.722270376782312 60.33991946655576, 24.70340502007155 60.344689705156924, 24.68621984418665 60.33757204963439, 24.687900567688644 60.325687245625936))"
8708996e5ffffff,-22,8050,"POLYGON ((24.70340502007155 60.344689705156924, 24.722270376782312 60.33991946655576, 24.739470610204457 60.34703393931456, 24.737806044575795 60.35892174057752, 24.71892931594587 60.36369252488244, 24.701728528550355 60.35657496168222, 24.70340502007155 60.344689705156924))"
8708996e6ffffff,202,24150,"POLYGON ((24.708427617467283 60.30903065395812, 24.72727340229483 60.30425577829836, 24.744457476757255 60.31136725388584, 24.74279632512979 60.32325669495262, 24.723939192882874 60.328032116222964, 24.706754563357023 60.320917550279, 24.708427617467283 60.30903065395812))"
8708996e8ffffff,2,18120,"POLYGON ((24.79113269816537 60.36837077160124, 24.810015674571968 60.36358851135131, 24.82726167978455 60.3706964829234, 24.825625306707693 60.38258980877347, 24.806730953160923 60.387372626819186, 24.789484353511366 60.3802615606748, 24.79113269816537 60.36837077160124))"
8708996e9ffffff,22,8050,"POLYGON ((24.806730953160923 60.387372626819186, 24.825625306707693 60.38258980877347, 24.84288699399492 60.38969766323082, 24.84125493359841 60.401591430623284, 24.82234919205697 60.40637480893893, 24.805086902590592 60.39926385904612, 24.806730953160923 60.387372626819186))"
8708996eaffffff,16,32200,"POLYGON ((24.81165634772245 60.35169563014206, 24.830531063196407 60.346908184768466, 24.84777646527681 60.35401306100379, 24.846147758686943 60.36590847740497, 24.82726167978455 60.3706964829234, 24.810015674571968 60.36358851135131, 24.81165634772245 60.35169563014206))"
8708996ebffffff,-26,40250,"POLYGON ((24.82726167978455 60.3706964829234, 24.846147758686943 60.36590847740497, 24.863408835091565 60.37301323566486, 24.861784447151543 60.384909095094336, 24.84288699399492 60.38969766323082, 24.825625306707693 60.38258980877347, 24.82726167978455 60.3706964829234))"
8708996eeffffff,20,32200,"POLYGON ((24.77555439104776 60.34936925194424, 24.79442600115999 60.344587547022485, 24.81165634772245 60.35169563014206, 24.810015674571968 60.36358851135131, 24.79113269816537 60.36837077160124, 24.773901764880144 60.36125959477128, 24.77555439104776 60.34936925194424))"
8708996f0ffffff,-320,32200,"POLYGON ((24.74943412225068 60.27569566734079, 24.768263492096647 60.27091043794677, 24.785446430403486 60.27801573049436, 24.78380057493007 60.289909343805704, 24.764959884872805 60.29469512351785, 24.74777637415706 60.28758673906307, 24.74943412225068 60.27569566734079))"
8708996f1ffffff,180,32200,"POLYGON ((24.764959884872805 60.29469512351785, 24.78380057493007 60.289909343805704, 24.800999094240282 60.29701454059439, 24.799357507201833 60.308908609318586, 24.780505486141852 60.313694941795625, 24.763306386783512 60.30658665224436, 24.764959884872805 60.29469512351785))"
8708996f2ffffff,316,32200,"POLYGON ((24.769913603540196 60.25901728313684, 24.78873476926234 60.2542268803262, 24.805917126519116 60.261329080193924, 24.804278902751992 60.27322477501448, 24.785446430403486 60.27801573049436, 24.768263492096647 60.27091043794677, 24.769913603540196 60.25901728313684))"
8708996f3ffffff,78,24150,"POLYGON ((24.785446430403486 60.27801573049436, 24.804278902751992 60.27322477501448, 24.82147683336466 60.28032687827031, 24.819842883978154 60.29222302999943, 24.800999094240282 60.29701454059439, 24.78380057493007 60.289909343805704, 24.785446430403486 60.27801573049436))"
8708996f4ffffff,2452,24150,"POLYGON ((24.713439923710787 60.27336670166342, 24.732266176930082 60.26858719351128, 24.74943412225068 60.27569566734079, 24.74777637415706 60.28758673906307, 24.728938797939822 60.292366792739315, 24.711770296475954 60.28525522863372, 24.713439923710787 60.27336670166342))"
8708996f5ffffff,480,32200,"POLYGON ((24.728938797939822 60.292366792739315, 24.74777637415706 60.28758673906307, 24.764959884872805 60.29469512351785, 24.763306386783512 60.30658665224436, 24.744457476757255 60.31136725388584, 24.72727340229483 60.30425577829836, 24.728938797939822 60.292366792739315))"
8708996f6ffffff,348,32200,"POLYGON ((24.733928162599494 60.256696581876476, 24.752746223016818 60.25191190036039, 24.769913603540196 60.25901728313684, 24.768263492096647 60.27091043794677, 24.74943412225068 60.27569566734079, 24.732266176930082 60.26858719351128, 24.733928162599494 60.256696581876476))"
870899788ffffff,6,24150,"POLYGON ((24.523587825608587 60.206957009305306, 24.54236753554437 60.20220190229056, 24.559429133287658 60.20932318022735, 24.55771149385739 60.22120264578007, 24.538920482741872 60.225958271956294, 24.521858415906447 60.21883391289621, 24.523587825608587 60.206957009305306))"
870899789ffffff,-4,10055,"POLYGON ((24.538920482741872 60.225958271956294, 24.55771149385739 60.22120264578007, 24.574788525094437 60.22832387617979, 24.573075025361412 60.24020381421222, 24.554272702204486 60.24495996194886, 24.53719519449587 60.23783564956881, 24.538920482741872 60.225958271956294))"
87089978affffff,44,32200,"POLYGON ((24.544089302492733 60.190322912271014, 24.562860905317045 60.18556263927022, 24.579922025289438 60.19268083528276, 24.578212023869906 60.20456238569797, 24.559429133287658 60.20932318022735, 24.54236753554437 60.20220190229056, 24.544089302492733 60.190322912271014))"
87089978bffffff,-38,32200,"POLYGON ((24.559429133287658 60.20932318022735, 24.578212023869906 60.20456238569797, 24.59528856994811 60.21168053331879, 24.593582714268162 60.22356255772378, 24.574788525094437 60.22832387617979, 24.55771149385739 60.22120264578007, 24.559429133287658 60.20932318022735))"
87089978cffffff,-4,8050,"POLYGON ((24.487764661195452 60.20458203336526, 24.50654117661472 60.19983260901098, 24.523587825608587 60.206957009305306, 24.521858415906447 60.21883391289621, 24.503070596753858 60.22358385164993, 24.486023494711564 60.2164563718932, 24.487764661195452 60.20458203336526))"
87089978effffff,28,16100,"POLYGON ((24.508274695629847 60.18795618248988, 24.527043115238367 60.18320159224429, 24.544089302492733 60.190322912271014, 24.54236753554437 60.20220190229056, 24.523587825608587 60.206957009305306, 24.50654117661472 60.19983260901098, 24.508274695629847 60.18795618248988))"
870899798ffffff,-14,8050,"POLYGON ((24.549247579843385 60.154682733672914, 24.567999814118284 60.149917818466726, 24.58504505190358 60.15703297554991, 24.583338538122558 60.16891612919095, 24.564575040295768 60.17368156590043, 24.547529323451176 60.16656332694464, 24.549247579843385 60.154682733672914))"
870899799ffffff,2424,32200,"POLYGON ((24.564575040295768 60.17368156590043, 24.583338538122558 60.16891612919095, 24.600399171666 60.17603124248001, 24.59869679746459 60.18791487467934, 24.579922025289438 60.19268083528276, 24.562860905317045 60.18556263927022, 24.564575040295768 60.17368156590043))"
87089979bffffff,8022,24150,"POLYGON ((24.58504505190358 60.15703297554991, 24.6038004468552 60.1522623774116, 24.620860585332423 60.15937440717971, 24.619165827568718 60.17126011808414, 24.600399171666 60.17603124248001, 24.583338538122558 60.16891612919095, 24.58504505190358 60.15703297554991))"
87089979dffffff,4,8050,"POLYGON ((24.5287689975603 60.17132308080838, 24.547529323451176 60.16656332694464, 24.564575040295768 60.17368156590043, 24.562860905317045 60.18556263927022, 24.544089302492733 60.190322912271014, 24.527043115238367 60.18320159224429, 24.5287689975603 60.17132308080838))"
87089ba65ffffff,2,2020,"POLYGON ((24.738348186387586 60.0949743852343, 24.75707738139237 60.09017178334051, 24.774165125455973 60.09726517958161, 24.77252423950742 60.10916426712951, 24.75378384244745 60.113967414214585, 24.736695536992038 60.106870928032514, 24.738348186387586 60.0949743852343))"
87089ba69ffffff,382,8050,"POLYGON ((24.84099745524151 60.137531109783126, 24.859755188398555 60.13271599599151, 24.876903510647143 60.1398029060056, 24.87529471198549 60.15170802411585, 24.856525761155346 60.15652369744344, 24.839376830258075 60.14943369258939, 24.84099745524151 60.137531109783126))"
87089bb48ffffff,8,8050,"POLYGON ((24.666768093968347 60.090366281588004, 24.685491098812353 60.08557506058201, 24.702549171065318 60.09267474832677, 24.700884771493573 60.10456874324679, 24.682150559164793 60.10936049994751, 24.665091957503112 60.1022577255095, 24.666768093968347 60.090366281588004))"
87089bb49ffffff,46,24150,"POLYGON ((24.682150559164793 60.10936049994751, 24.700884771493573 60.10456874324679, 24.717958225348532 60.111668377522534, 24.7162980073356 60.12356285550673, 24.69755257685602 60.12835515029496, 24.68047858615435 60.121252428485725, 24.682150559164793 60.10936049994751))"
87089bb4bffffff,-7,18120,"POLYGON ((24.702549171065318 60.09267474832677, 24.721275277921567 60.08787783927832, 24.738348186387586 60.0949743852343, 24.736695536992038 60.106870928032514, 24.717958225348532 60.111668377522534, 24.700884771493573 60.10456874324679, 24.702549171065318 60.09267474832677))"
87089bb4dffffff,288,18105,"POLYGON ((24.64636085835798 60.107043794230634, 24.665091957503112 60.1022577255095, 24.682150559164793 60.10936049994751, 24.68047858615435 60.121252428485725, 24.661736266176288 60.12603903054491, 24.644677143660587 60.1189331702041, 24.64636085835798 60.107043794230634))"
8711269b6ffffff,0,24150,"POLYGON ((24.84288699399492 60.38969766323082, 24.861784447151543 60.384909095094336, 24.87906122132141 60.3920137298005, 24.877441164674472 60.40391002915451, 24.858532326429305 60.40869916238892, 24.84125493359841 60.401591430623284, 24.84288699399492 60.38969766323082))"
871126c01ffffff,20,8050,"POLYGON ((25.227992209630415 60.233602896568705, 25.24682162544669 60.22873373464181, 25.264166336254927 60.235791058287596, 25.262682421506405 60.24772065568438, 25.2438417734144 60.25259043012607, 25.22649627591206 60.24552999409559, 25.227992209630415 60.233602896568705))"
871126c05ffffff,-6,16100,"POLYGON ((25.191835914962184 60.231405684798396, 25.210662416057136 60.22654229705625, 25.227992209630415 60.233602896568705, 25.22649627591206 60.24552999409559, 25.207658539302418 60.25039398953842, 25.19032797549657 60.2433302791952, 25.191835914962184 60.231405684798396))"
871126c20ffffff,2228,16100,"POLYGON ((25.119576883793883 60.226984162324875, 25.138397512285618 60.22213230862179, 25.1556974678431 60.22919943578197, 25.154177535866342 60.24112152379682, 25.13534566548917 60.24597397558057, 25.118044972555445 60.23890374071427, 25.119576883793883 60.226984162324875))"
871126c21ffffff,-62,32200,"POLYGON ((25.13534566548917 60.24597397558057, 25.154177535866342 60.24112152379682, 25.17149316480168 60.24818850041734, 25.169977672278215 60.260111036806826, 25.15113454949903 60.26496408915882, 25.133818175230022 60.257894003996704, 25.13534566548917 60.24597397558057))"
871126c22ffffff,992,24150,"POLYGON ((25.139921870960862 60.21021067212181, 25.158734214708343 60.20535365419169, 25.176033424437453 60.2124176729136, 25.174521039820085 60.22434181744914, 25.1556974678431 60.22919943578197, 25.138397512285618 60.22213230862179, 25.139921870960862 60.21021067212181))"
871126c23ffffff,-10,24150,"POLYGON ((25.1556974678431 60.22919943578197, 25.174521039820085 60.22434181744914, 25.191835914962184 60.231405684798396, 25.19032797549657 60.2433302791952, 25.17149316480168 60.24818850041734, 25.154177535866342 60.24112152379682, 25.1556974678431 60.22919943578197))"
871126c24ffffff,1340,32200,"POLYGON ((25.083474178263074 60.22475987723275, 25.10229184893173 60.21991378337561, 25.119576883793883 60.226984162324875, 25.118044972555445 60.23890374071427, 25.09921605686946 60.24375042784618, 25.081930301025782 60.2366769427614, 25.083474178263074 60.22475987723275))"
871126c25ffffff,950,32200,"POLYGON ((25.09921605686946 60.24375042784618, 25.118044972555445 60.23890374071427, 25.13534566548917 60.24597397558057, 25.133818175230022 60.257894003996704, 25.114978003989584 60.26274128688542, 25.097676582152715 60.25566794504683, 25.09921605686946 60.24375042784618))"
871126c26ffffff,1854,32200,"POLYGON ((25.103828168430567 60.20799465814784, 25.12263756554584 60.20314340004436, 25.139921870960862 60.21021067212181, 25.138397512285618 60.22213230862179, 25.119576883793883 60.226984162324875, 25.10229184893173 60.21991378337561, 25.103828168430567 60.20799465814784))"
871126c28ffffff,-84,24150,"POLYGON ((25.187308997870517 60.26717785725541, 25.206155057779263 60.26231903065085, 25.223501333543215 60.26938257834486, 25.222002322789276 60.2813080630241, 25.203145003163094 60.28616749751091, 25.185797957591074 60.27910083887616, 25.187308997870517 60.26717785725541))"
871126c29ffffff,16,8050,"POLYGON ((25.203145003163094 60.28616749751091, 25.222002322789276 60.2813080630241, 25.239364333849306 60.28837144241603, 25.23786980672749 60.30029736751013, 25.2190012168728 60.305157412385576, 25.201638427954528 60.298090921216414, 25.203145003163094 60.28616749751091))"
871126c2affffff,4,24150,"POLYGON ((25.207658539302418 60.25039398953842, 25.22649627591206 60.24552999409559, 25.2438417734144 60.25259043012607, 25.24235031614277 60.264517972702656, 25.223501333543215 60.26938257834486, 25.206155057779263 60.26231903065085, 25.207658539302418 60.25039398953842))"
871126c2bffffff,-16,16100,"POLYGON ((25.223501333543215 60.26938257834486, 25.24235031614277 60.264517972702656, 25.25971154088363 60.271578239597005, 25.258224572921513 60.28350622406907, 25.239364333849306 60.28837144241603, 25.222002322789276 60.2813080630241, 25.223501333543215 60.26938257834486))"
871126c2cffffff,-76,16100,"POLYGON ((25.15113454949903 60.26496408915882, 25.169977672278215 60.260111036806826, 25.187308997870517 60.26717785725541, 25.185797957591074 60.27910083887616, 25.16694357188556 60.28395449429061, 25.14961149297389 60.27688456446376, 25.15113454949903 60.26496408915882))"
871126c2dffffff,10,16100,"POLYGON ((25.16694357188556 60.28395449429061, 25.185797957591074 60.27910083887616, 25.203145003163094 60.28616749751091, 25.201638427954528 60.298090921216414, 25.182772768790745 60.30294518219416, 25.165424961885233 60.29587541334326, 25.16694357188556 60.28395449429061))"
871126c2effffff,-114,32200,"POLYGON ((25.17149316480168 60.24818850041734, 25.19032797549657 60.2433302791952, 25.207658539302418 60.25039398953842, 25.206155057779263 60.26231903065085, 25.187308997870517 60.26717785725541, 25.169977672278215 60.260111036806826, 25.17149316480168 60.24818850041734))"
871126c31ffffff,276,32200,"POLYGON ((25.160251031722698 60.19342996265985, 25.179055093183855 60.188567782849304, 25.196353548653445 60.195628692402515, 25.194848700485412 60.20755489037999, 25.176033424437453 60.2124176729136, 25.158734214708343 60.20535365419169, 25.160251031722698 60.19342996265985))"
871126c35ffffff,7588,32200,"POLYGON ((25.124166338200656 60.19122221819632, 25.142967464199323 60.18636579818899, 25.160251031722698 60.19342996265985, 25.158734214708343 60.20535365419169, 25.139921870960862 60.21021067212181, 25.12263756554584 60.20314340004436, 25.124166338200656 60.19122221819632))"
871126d00ffffff,13216,32200,"POLYGON ((24.95963217454734 60.199040726295934, 24.978429642404002 60.19421245964718, 24.995654320084547 60.201292665065765, 24.994082197652496 60.2132042371395, 24.975273486186207 60.21803308020325, 24.958048144360184 60.21094977423353, 24.95963217454734 60.199040726295934))"
